# Auto-generated function map from Ghidra analysis
# Address        Size  Name
#----------------------------------------------------------------------
  02030730           92  FUN_02030730
  02030790          184  FUN_02030790
  02030870           24  FUN_02030870
  0203088c           36  FUN_0203088c
  020308b4           28  FUN_020308b4
  020308d4          128  FUN_020308d4
  02030958           36  FUN_02030958
  02030980           36  FUN_02030980
  020309a8           96  FUN_020309a8
  02030a0c           96  FUN_02030a0c
  02030a70           96  FUN_02030a70
  02030ad4           96  FUN_02030ad4
  02030b38           96  FUN_02030b38
  02030b9c           96  FUN_02030b9c
  02030c00           96  FUN_02030c00
  02030c64           96  FUN_02030c64
  02030cc8           12  FUN_02030cc8
  02030cd8           20  FUN_02030cd8
  02030cf0          528  FUN_02030cf0
  02030f0c          132  FUN_02030f0c
  02030f94           36  FUN_02030f94
  02030fb8           80  FUN_02030fb8
  02031008           64  FUN_02031008
  02031048           12  FUN_02031048
  02031058           12  FUN_02031058
  02031064          236  FUN_02031064
  02031150           88  FUN_02031150
  020311a8          112  FUN_020311a8
  02031218          192  FUN_02031218
  020312d8           28  FUN_020312d8
  020312f4          156  FUN_020312f4
  02031390          208  FUN_02031390
  02031460          240  FUN_02031460
  02031554           84  FUN_02031554
  020315a8           36  FUN_020315a8
  020315cc           60  FUN_020315cc
  02031608           60  FUN_02031608
  02031644           52  FUN_02031644
  02031678          108  FUN_02031678
  020316e4          300  FUN_020316e4
  02031818          120  FUN_02031818
  02031894          120  FUN_02031894
  02031910          120  FUN_02031910
  0203198c          120  FUN_0203198c
  02031a08          180  FUN_02031a08
  02031abc          168  FUN_02031abc
  02031b64          348  FUN_02031b64
  02031cc4          112  FUN_02031cc4
  02031d34          172  FUN_02031d34
  02031de0          320  FUN_02031de0
  02031f20           48  FUN_02031f20
  02031f50           56  FUN_02031f50
  02031f88           36  FUN_02031f88
  02031fac          208  FUN_02031fac
  0203207c          268  FUN_0203207c
  02032188          152  FUN_02032188
  02032220           84  FUN_02032220
  02032274          168  FUN_02032274
  0203231c          100  FUN_0203231c
  0203238c         2208  FUN_0203238c
  02032c40          328  FUN_02032c40
  02032d8c          320  FUN_02032d8c
  02032ee0          160  FUN_02032ee0
  02032f8c           52  FUN_02032f8c
  02032fc4           72  FUN_02032fc4
  02033010           84  FUN_02033010
  02033064          116  FUN_02033064
  020330d8          104  FUN_020330d8
  02033150           72  FUN_02033150
  02033198           64  FUN_02033198
  020331d8          100  FUN_020331d8
  02033248          148  FUN_02033248
  020332e8          100  FUN_020332e8
  0203334c          716  FUN_0203334c
  02033624           60  FUN_02033624
  02033660          164  FUN_02033660
  02033708          272  FUN_02033708
  02033820           24  FUN_02033820
  02033838           12  FUN_02033838
  02033844           44  FUN_02033844
  02033870           48  FUN_02033870
  020338a0           24  FUN_020338a0
  020338b8          104  FUN_020338b8
  02033920          212  FUN_02033920
  020339fc          228  FUN_020339fc
  02033b00           76  FUN_02033b00
  02033b4c          508  FUN_02033b4c
  02033d4c          416  FUN_02033d4c
  02033ef4          152  FUN_02033ef4
  02033f8c          224  FUN_02033f8c
  02034084           48  FUN_02034084
  020340b8           80  FUN_020340b8
  02034110           64  FUN_02034110
  02034150           24  FUN_02034150
  02034168           24  FUN_02034168
  02034180           60  FUN_02034180
  020341bc           48  FUN_020341bc
  020341ec           32  FUN_020341ec
  0203420c           24  FUN_0203420c
  02034224           44  FUN_02034224
  02034274          804  FUN_02034274
  02034598          300  FUN_02034598
  020346c4          228  FUN_020346c4
  020347a8           72  FUN_020347a8
  02034800           44  FUN_02034800
  02034838           36  FUN_02034838
  02034864           72  FUN_02034864
  020348b4           48  FUN_020348b4
  020348f0           52  FUN_020348f0
  0203492c           32  FUN_0203492c
  02034954          108  FUN_02034954
  020349c8           72  FUN_020349c8
  02034a18           28  FUN_02034a18
  02034a34           28  FUN_02034a34
  02034a50          292  FUN_02034a50
  02034b90          156  FUN_02034b90
  02034c2c           68  FUN_02034c2c
  02034c70          444  FUN_02034c70
  02034e4c          464  FUN_02034e4c
  02035020          232  FUN_02035020
  02035110           44  FUN_02035110
  020351cc           68  FUN_020351cc
  02035218           64  FUN_02035218
  02035500           16  FUN_02035500
  02035518           16  FUN_02035518
  02035530           16  FUN_02035530
  02035548           16  FUN_02035548
  020355b4           12  FUN_020355b4
  020355c4           12  FUN_020355c4
  020357f0           28  FUN_020357f0
  02035818           28  FUN_02035818
  02035840           12  FUN_02035840
  02035854           12  FUN_02035854
  02035868           28  FUN_02035868
  0203588c           28  FUN_0203588c
  020358e8          128  FUN_020358e8
  02035974          128  FUN_02035974
  02035a00          112  FUN_02035a00
  02035a7c          156  FUN_02035a7c
  02035b48          228  FUN_02035b48
  02035c3c          484  FUN_02035c3c
  02035e40          172  FUN_02035e40
  02035ef8          260  FUN_02035ef8
  0203600c          340  FUN_0203600c
  02036178          664  FUN_02036178
  02036430          148  FUN_02036430
  020364e8           72  FUN_020364e8
  02036538           92  FUN_02036538
  02036598           64  FUN_02036598
  020365e0           84  FUN_020365e0
  02036638           28  FUN_02036638
  02036658           48  FUN_02036658
  0203668c           28  FUN_0203668c
  020366ac           48  FUN_020366ac
  020366e0          120  FUN_020366e0
  02036760          136  FUN_02036760
  020367ec          120  FUN_020367ec
  0203686c          136  FUN_0203686c
  020368f8           28  FUN_020368f8
  02036918           48  FUN_02036918
  0203694c           28  FUN_0203694c
  0203696c           48  FUN_0203696c
  020369c4           28  FUN_020369c4
  020369e0          180  FUN_020369e0
  02036a94           32  FUN_02036a94
  02036ab4           32  FUN_02036ab4
  02036ad4          100  FUN_02036ad4
  02036b38           48  FUN_02036b38
  02036b68           32  FUN_02036b68
  02036b88           32  FUN_02036b88
  02036ba8           32  FUN_02036ba8
